finetuning_id,proportion_background,sampling_condition
1,0,frequency_weighted
2,0.1,frequency_weighted
3,0.2,frequency_weighted
4,0.3,frequency_weighted
5,0.4,frequency_weighted
6,0.5,frequency_weighted
7,0.6,frequency_weighted
8,0.7,frequency_weighted
9,0.8,frequency_weighted
10,0.9,frequency_weighted
11,1,frequency_weighted
12,0,length_weighted
13,0.1,length_weighted
14,0.2,length_weighted
15,0.3,length_weighted
16,0.4,length_weighted
17,0.5,length_weighted
18,0.6,length_weighted
19,0.7,length_weighted
20,0.8,length_weighted
21,0.9,length_weighted
22,1,length_weighted
