attention_type,mode,complexity,batch_size,time_ms,memory_mb,tokens_per_sec,window_size
classical,TRAINING,O(n²),1,4.497718811035156,144.56591796875,227670.9690004665,
sdpa_full,TRAINING,O(n²),1,4.572629928588867,144.56591796875,223941.14896501382,
classical_windowed,TRAINING,O(nw),1,4.180765151977539,148.56591796875,244931.24171675582,32.0
sdpa_sliding,TRAINING,O(n),1,3.5405397415161133,97.009765625,289221.43931690697,32.0
fast_sliding,TRAINING,O(n),1,4.007124900817871,97.009765625,255544.8171308554,32.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,520.7309484481812,529.1572265625,1966.466565990748,32.0
true_vectorized,TRAINING,O(n×w),1,6.320500373840332,271.5322265625,162012.48942855743,32.0
classical_windowed,TRAINING,O(nw),1,3.9207935333251953,271.5322265625,261171.62031012465,64.0
sdpa_sliding,TRAINING,O(n),1,2.4750471115112305,97.009765625,413729.4984153895,64.0
fast_sliding,TRAINING,O(n),1,3.5680532455444336,97.009765625,286991.23290234205,64.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,889.6089792251587,977.3134765625,1151.0675183291144,64.0
true_vectorized,TRAINING,O(n×w),1,6.021690368652344,464.0634765625,170051.91853283075,64.0
classical_windowed,TRAINING,O(nw),1,4.338383674621582,464.0634765625,236032.60495150165,128.0
sdpa_sliding,TRAINING,O(n),1,3.5746335983276367,97.009765625,286462.9260126325,128.0
fast_sliding,TRAINING,O(n),1,3.9254665374755855,97.009765625,260860.71304495705,128.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,1662.6594066619873,1873.6259765625,615.8807966905368,128.0
true_vectorized,TRAINING,O(n×w),1,16.108298301696777,849.1259765625,63569.719210634205,128.0
classical,TRAINING,O(n²),1,5.2971601486206055,849.1259765625,386622.25466853305,
sdpa_full,TRAINING,O(n²),1,5.163931846618652,849.1259765625,396597.0235143658,
classical_windowed,TRAINING,O(nw),1,6.728959083557129,849.1259765625,304356.1380844905,32.0
sdpa_sliding,TRAINING,O(n),1,4.229283332824707,133.0185546875,484242.7992716572,32.0
fast_sliding,TRAINING,O(n),1,4.221892356872559,133.0185546875,485090.52976355184,32.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,895.0573205947876,989.3134765625,2288.121612858329,32.0
true_vectorized,TRAINING,O(n×w),1,5.701971054077148,474.0634765625,359174.04360297375,32.0
classical_windowed,TRAINING,O(nw),1,6.738138198852539,474.0634765625,303941.5250267145,64.0
sdpa_sliding,TRAINING,O(n),1,4.239416122436523,133.0185546875,483085.39215134917,64.0
fast_sliding,TRAINING,O(n),1,4.237866401672363,133.0185546875,483262.04884415667,64.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,1658.4429740905762,1885.6259765625,1234.8932293695786,64.0
true_vectorized,TRAINING,O(n×w),1,6.744599342346191,859.1259765625,303650.35727794294,64.0
classical_windowed,TRAINING,O(nw),1,6.68027400970459,859.1259765625,306574.2508503128,128.0
sdpa_sliding,TRAINING,O(n),1,4.208111763000488,133.0185546875,486679.0891836307,128.0
fast_sliding,TRAINING,O(n),1,4.248762130737305,133.0185546875,482022.7485045397,128.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,3181.7063093185425,3678.2509765625,643.6797745919674,128.0
true_vectorized,TRAINING,O(n×w),1,18.442606925964355,1629.2509765625,111047.20760039249,128.0
classical,TRAINING,O(n²),1,11.359977722167969,1629.2509765625,360564.0873755436,
sdpa_full,TRAINING,O(n²),1,10.74512004852295,1629.2509765625,381196.29948322877,
classical_windowed,TRAINING,O(nw),1,11.7903470993042,1629.2509765625,347402.8343272204,32.0
sdpa_sliding,TRAINING,O(n),1,8.924245834350586,229.0361328125,458974.35772488045,32.0
fast_sliding,TRAINING,O(n),1,8.942079544067383,229.0361328125,458058.99844824,32.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,1662.1374368667603,1909.6259765625,2464.296819955655,32.0
true_vectorized,TRAINING,O(n×w),1,5.742192268371582,879.1259765625,713316.4144574312,32.0
classical_windowed,TRAINING,O(nw),1,11.806178092956543,879.1259765625,346936.9992346326,64.0
sdpa_sliding,TRAINING,O(n),1,8.944511413574219,229.0361328125,457934.4595372641,64.0
fast_sliding,TRAINING,O(n),1,8.91423225402832,229.0361328125,459489.9351146059,64.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,3181.7506313323975,3702.2509765625,1287.3416161733421,64.0
true_vectorized,TRAINING,O(n×w),1,9.468293190002441,1649.2509765625,432601.7285063544,64.0
classical_windowed,TRAINING,O(nw),1,11.789631843566895,1649.2509765625,347423.9106316975,128.0
sdpa_sliding,TRAINING,O(n),1,8.935070037841797,229.0361328125,458418.3428504339,128.0
fast_sliding,TRAINING,O(n),1,8.931493759155273,229.0361328125,458601.8991281693,128.0
true_vectorized_outer_loop,TRAINING,O(n×w),1,6209.752345085144,7287.5009765625,659.6076256151948,128.0
true_vectorized,TRAINING,O(n×w),1,23.719048500061035,3189.5009765625,172688.20880354708,128.0
